Three-Digit ZIP Code,Year,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base,
010,1975,.,100.00,23.06,21.52,
010,1976,7.72,107.72,24.84,23.18,
010,1977,6.70,114.93,26.51,24.74,
010,1978,7.86,123.97,28.59,26.68,
010,1979,16.42,144.32,33.29,31.06,
010,1980,11.80,161.35,37.21,34.73,
010,1981,7.08,172.77,39.85,37.18,
010,1982,11.99,193.49,44.63,41.64,
010,1983,6.56,206.18,47.55,44.37,
010,1984,15.56,238.26,54.95,51.28,
010,1985,12.24,267.44,61.68,57.56,
010,1986,14.77,306.95,70.79,66.06,
010,1987,21.62,373.32,86.10,80.35,
010,1988,15.65,431.74,99.58,92.92,
010,1989,2.58,442.89,102.15,95.32,
010,1990,-2.10,433.58,100.00,93.32,
010,1991,-3.28,419.36,96.72,90.26,
010,1992,-2.02,410.89,94.77,88.43,
010,1993,-1.41,405.08,93.43,87.18,
010,1994,-1.27,399.94,92.24,86.08,
010,1995,-0.53,397.84,91.76,85.62,
010,1996,1.60,404.22,93.23,87.00,
010,1997,1.30,409.46,94.44,88.12,
010,1998,2.69,420.48,96.98,90.50,
010,1999,3.42,434.86,100.29,93.59,
010,2000,6.85,464.64,107.16,100.00,
010,2001,6.51,494.90,114.14,106.51,
010,2002,8.82,538.54,124.21,115.90,
010,2003,7.62,579.60,133.68,124.74,
010,2004,12.93,654.51,150.95,140.87,
010,2005,12.86,738.67,170.36,158.98,
010,2006,4.71,773.48,178.39,166.47,
010,2007,0.60,778.10,179.46,167.46,
010,2008,-3.04,754.45,174.00,162.37,
010,2009,-4.20,722.80,166.70,155.56,
010,2010,-2.06,707.90,163.27,152.36,
010,2011,-2.70,688.79,158.86,148.24,
010,2012,-2.01,674.97,155.67,145.27,
010,2013,-0.14,673.99,155.45,145.06,
010,2014,1.05,681.05,157.08,146.58,
010,2015,2.03,694.85,160.26,149.55,
010,2016,1.74,706.95,163.05,152.15,
010,2017,2.83,726.92,167.65,156.45,
010,2018,4.49,759.55,175.18,163.47,
010,2019,3.63,787.09,181.53,169.40,
010,2020,4.08,819.23,188.94,176.32,
010,2021,11.46,913.10,210.59,196.52,
011,1975,.,100.00,19.56,20.78,
011,1976,17.82,117.82,23.05,24.48,
011,1977,2.82,121.14,23.70,25.17,
011,1978,10.82,134.26,26.26,27.90,
011,1979,16.98,157.06,30.72,32.64,
011,1980,9.22,171.53,33.55,35.64,
011,1981,13.27,194.29,38.00,40.37,
011,1982,9.67,213.08,41.68,44.28,
011,1983,10.12,234.64,45.90,48.76,
011,1984,15.47,270.95,53.00,56.30,
011,1985,17.94,319.56,62.51,66.41,
011,1986,16.42,372.03,72.77,77.31,
011,1987,19.74,445.48,87.14,92.57,
011,1988,13.85,507.15,99.20,105.39,
011,1989,4.53,530.11,103.69,110.16,
011,1990,-3.56,511.22,100.00,106.23,
011,1991,-5.29,484.17,94.71,100.61,
011,1992,-2.84,470.44,92.02,97.76,
011,1993,-4.46,449.48,87.92,93.40,
011,1994,-4.42,429.59,84.03,89.27,
011,1995,-5.84,404.51,79.12,84.06,
011,1996,1.22,409.43,80.09,85.08,
011,1997,0.57,411.76,80.54,85.57,
011,1998,6.62,439.04,85.88,91.23,
011,1999,2.10,448.25,87.68,93.15,
011,2000,7.36,481.22,94.13,100.00,
011,2001,7.73,518.44,101.41,107.73,
011,2002,10.39,572.28,111.94,118.92,
011,2003,8.02,618.16,120.92,128.46,
011,2004,10.76,684.67,133.93,142.28,
011,2005,11.96,766.58,149.95,159.30,
011,2006,5.65,809.88,158.42,168.30,
011,2007,-0.92,802.45,156.97,166.75,
011,2008,-5.40,759.10,148.49,157.74,
011,2009,-5.50,717.36,140.32,149.07,
011,2010,-1.44,707.01,138.30,146.92,
011,2011,-3.07,685.27,134.04,142.40,
011,2012,-3.58,660.72,129.24,137.30,
011,2013,-0.72,655.94,128.31,136.31,
011,2014,2.01,669.14,130.89,139.05,
011,2015,3.05,689.52,134.88,143.29,
011,2016,1.99,703.26,137.56,146.14,
011,2017,5.66,743.06,145.35,154.41,
011,2018,6.28,789.74,154.48,164.11,
011,2019,4.18,822.76,160.94,170.97,
011,2020,5.63,869.09,170.00,180.60,
011,2021,14.90,998.59,195.33,207.51,
012,1980,.,100.00,39.05,37.87,
012,1981,13.36,113.36,44.27,42.92,
012,1982,-2.11,110.97,43.33,42.02,
012,1983,11.19,123.39,48.18,46.72,
012,1984,24.79,153.97,60.12,58.30,
012,1985,14.73,176.65,68.98,66.89,
